"MEMBER_FOLLOWING_ID"	"MY_MEMBER_ID"	"YOUR_MEMBER_ID"	"FOLLOW_DATETIME"
"40"	"6"	"1"	"2006-07-24 23:59:31.000"
"41"	"6"	"2"	"2007-11-01 17:23:13.000"
"42"	"6"	"3"	"2007-11-01 16:23:13.000"
"43"	"6"	"4"	"2006-07-24 23:52:32.000"
"44"	"6"	"5"	"2007-11-01 11:23:14.000"
"45"	"6"	"6"	"2007-11-21 06:23:14.000"
"46"	"8"	"1"	"2011-07-24 23:52:33.000"
"47"	"8"	"2"	"2007-11-01 11:23:15.000"
"48"	"8"	"3"	"2007-11-21 06:23:15.000"
"49"	"9"	"1"	"2006-07-24 23:52:34.000"
"50"	"9"	"2"	"0208-11-01 11:23:16.000"
"51"	"9"	"3"	"2007-11-21 06:23:16.000"
"52"	"9"	"10"	"2006-07-24 23:52:35.000"
"53"	"9"	"20"	"2009-11-01 11:23:17.000"
"54"	"10"	"1"	"2007-11-21 06:23:17.000"
"55"	"10"	"2"	"2006-07-24 23:52:36.000"
"56"	"10"	"3"	"2010-11-01 11:23:18.000"
"57"	"10"	"4"	"2006-12-21 23:59:59.000"
"58"	"10"	"5"	"2007-11-01 16:16:16.000"
"59"	"10"	"6"	"2006-08-23 22:56:29.000"
"60"	"10"	"9"	"2007-11-01 02:11:00.000"
"61"	"10"	"11"	"2012-05-24 23:12:59.000"
"62"	"10"	"12"	"2005-11-10 16:32:01.000"
"63"	"10"	"13"	"2006-01-28 23:59:59.000"
"64"	"10"	"14"	"2007-10-09 16:23:00.000"
"65"	"10"	"15"	"2009-12-22 23:59:59.000"
"66"	"10"	"16"	"2007-11-01 09:01:00.000"
"67"	"10"	"17"	"2006-11-23 23:59:59.000"
"68"	"10"	"18"	"2011-11-15 12:43:00.000"
"69"	"10"	"19"	"2006-07-24 23:59:59.000"
"70"	"10"	"20"	"2011-08-01 16:23:01.000"
"71"	"11"	"12"	"2006-09-24 23:59:20.000"
"72"	"11"	"13"	"2008-01-01 12:23:02.000"
"73"	"11"	"14"	"2006-12-24 23:59:21.000"
"74"	"11"	"15"	"2009-02-11 17:23:03.000"
"75"	"11"	"16"	"2010-03-24 23:59:22.000"
"76"	"11"	"17"	"2007-09-01 16:12:04.000"
"77"	"11"	"19"	"2006-12-24 23:59:23.000"
"78"	"12"	"1"	"2007-11-01 16:23:05.000"
"79"	"12"	"11"	"2011-05-24 23:59:24.000"
"80"	"12"	"13"	"2007-11-01 16:23:06.000"
"81"	"12"	"14"	"2013-06-24 11:59:25.000"
"82"	"12"	"15"	"2007-06-21 01:23:57.000"
"83"	"12"	"19"	"2006-12-24 23:59:26.000"
"84"	"13"	"11"	"2007-08-01 16:23:08.000"
"85"	"13"	"12"	"2013-02-24 23:59:27.000"
"86"	"13"	"14"	"2012-11-01 16:23:03.000"
"87"	"14"	"1"	"2006-07-24 23:59:28.000"
"88"	"14"	"10"	"2012-05-24 23:12:59.000"
"89"	"14"	"11"	"2005-11-10 16:32:01.000"
"90"	"14"	"20"	"2006-01-28 23:59:59.000"
"91"	"16"	"17"	"2007-10-09 16:23:00.000"
"92"	"17"	"16"	"2009-12-22 23:59:59.000"
"93"	"18"	"1"	"2007-11-01 09:01:00.000"
"94"	"18"	"2"	"2006-11-23 23:59:59.000"
"95"	"18"	"3"	"2011-11-15 12:43:00.000"
"96"	"18"	"4"	"2006-07-24 23:59:59.000"
"97"	"18"	"5"	"2011-08-01 16:23:01.000"
"98"	"18"	"6"	"2006-09-24 23:59:20.000"
"99"	"18"	"9"	"2008-01-01 12:23:02.000"
"100"	"18"	"11"	"2006-12-24 23:59:21.000"
"101"	"18"	"12"	"2009-02-11 17:23:03.000"
"102"	"18"	"13"	"2010-03-24 23:59:22.000"
"103"	"18"	"14"	"2007-09-01 16:12:04.000"
"104"	"18"	"15"	"2006-12-24 23:59:23.000"
"105"	"19"	"1"	"2007-11-01 16:23:05.000"
"106"	"19"	"10"	"2011-05-24 23:59:24.000"
"107"	"19"	"11"	"2007-11-01 16:23:06.000"
"108"	"19"	"12"	"2013-06-24 11:59:25.000"
"109"	"19"	"20"	"2013-06-24 11:59:25.000"
"110"	"20"	"10"	"2013-06-24 11:59:25.000"
"111"	"20"	"19"	"2013-06-24 11:59:25.000"
